Change component parameters: Designator = "BT100" ("BT100"); Footprint = "2468_3D_KEYSTONE"; UniqueID = "\GMRICTUX\ABRUILTW" ("\GMRICTUX\ABRUILTW")
Change component parameters (AddParameter): Name = "Value"; Value = "IRLML2402TRBF"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q102" ("Q102"); Footprint = "INTR-IRLML2402TRPBF-3_V"; UniqueID = "\GMRICTUX\QTOSSKND" ("\GMRICTUX\QTOSSKND")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Infineon Technologies"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageCase"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "IRLML2402TRBF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "Digi-key,Stock ES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier min. qty"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier PN"; Value = "IRLML2402PBFCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier unit price"; Value = "0.34"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "IRLML2402TRBF"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q200" ("Q200"); Footprint = "INTR-IRLML2402TRPBF-3_V"; UniqueID = "\XKRSHQMH\VTPWESTT" ("\XKRSHQMH\VTPWESTT")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Infineon Technologies"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageCase"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "IRLML2402TRBF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "Digi-key,Stock ES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier min. qty"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier PN"; Value = "IRLML2402PBFCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier unit price"; Value = "0.34"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "IRLML2402TRBF"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q201" ("Q201"); Footprint = "INTR-IRLML2402TRPBF-3_V"; UniqueID = "\XKRSHQMH\SFNYDXOW" ("\XKRSHQMH\SFNYDXOW")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Infineon Technologies"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageCase"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "IRLML2402TRBF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "Digi-key,Stock ES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier min. qty"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier PN"; Value = "IRLML2402PBFCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier unit price"; Value = "0.34"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "IRLML2402TRBF"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q202" ("Q202"); Footprint = "INTR-IRLML2402TRPBF-3_V"; UniqueID = "\XKRSHQMH\IAMXVUCM" ("\XKRSHQMH\IAMXVUCM")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Infineon Technologies"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageCase"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "IRLML2402TRBF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "Digi-key,Stock ES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier min. qty"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier PN"; Value = "IRLML2402PBFCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier unit price"; Value = "0.34"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "IRLML2402TRBF"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q203" ("Q203"); Footprint = "INTR-IRLML2402TRPBF-3_V"; UniqueID = "\XKRSHQMH\OTGRAVKM" ("\XKRSHQMH\OTGRAVKM")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Infineon Technologies"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageCase"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "IRLML2402TRBF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "Digi-key,Stock ES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier min. qty"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier PN"; Value = "IRLML2402PBFCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier unit price"; Value = "0.34"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "IRLML2402TRBF"; VariantName = "[No Variations]"
Change component parameters: Designator = "U100" ("U100"); Footprint = "DBV0005A_M"; UniqueID = "\GMRICTUX\IWUZSNDB" ("\GMRICTUX\IWUZSNDB")
Change component parameters (AddParameter): Name = "Code_IPC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Code_JEDEC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Code_JEITA"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=LM4125&fileType=pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "Voltage Reference IC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Nov-2003"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "High-Reliability"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Molded SOT-23, .115 x .063 x .040 in Body, 5 Lead, .0375 in Pitch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "DBV0005A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageTopMarking"; Value = "R80B*XTT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageVersion"; Value = "revD, Aug-2008"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PinCount"; Value = "5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerWise"; Value = "Y"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RevisionNote"; Value = "Component URLs added"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Y"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "LM4125IM5-2.0"; VariantName = "[No Variations]"
Change component parameters: Designator = "U101" ("U101"); Footprint = "TSOP65P640X110_HS-17N"; UniqueID = "\GMRICTUX\SBMPGBFU" ("\GMRICTUX\SBMPGBFU")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Maxim Integrated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "Stock ES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier min. qty"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier PN"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier unit price"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "MAX1793EUE33"; VariantName = "[No Variations]"
